exercise,videoName,frame,good/bad,feedback
barbell biceps curl,barbell biceps curl_1.mp4,90,good,None
barbell biceps curl,barbell biceps curl_1.mp4,93,good,None
barbell biceps curl,barbell biceps curl_1.mp4,96,good,None
barbell biceps curl,barbell biceps curl_1.mp4,99,good,None
barbell biceps curl,barbell biceps curl_1.mp4,102,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,105,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,108,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,111,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,114,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_10.mp4,3,bad,[LEFT] Elbows too straight. | [LEFT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_10.mp4,6,bad,[LEFT] Elbows too straight. | [LEFT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_10.mp4,9,bad,[LEFT] Elbows too straight. | [LEFT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_10.mp4,12,bad,[LEFT] Elbows too straight.
barbell biceps curl,barbell biceps curl_10.mp4,15,bad,[LEFT] Elbows too straight.
barbell biceps curl,barbell biceps curl_10.mp4,18,good,None
barbell biceps curl,barbell biceps curl_10.mp4,21,good,None
barbell biceps curl,barbell biceps curl_10.mp4,24,good,None
barbell biceps curl,barbell biceps curl_10.mp4,27,good,None
barbell biceps curl,barbell biceps curl_10.mp4,30,good,None
barbell biceps curl,barbell biceps curl_10.mp4,33,good,None
barbell biceps curl,barbell biceps curl_10.mp4,36,good,None
barbell biceps curl,barbell biceps curl_10.mp4,39,good,None
barbell biceps curl,barbell biceps curl_10.mp4,42,good,None
barbell biceps curl,barbell biceps curl_10.mp4,45,good,None
barbell biceps curl,barbell biceps curl_10.mp4,48,good,None
barbell biceps curl,barbell biceps curl_10.mp4,51,good,None
barbell biceps curl,barbell biceps curl_10.mp4,54,good,None
barbell biceps curl,barbell biceps curl_10.mp4,57,good,None
barbell biceps curl,barbell biceps curl_10.mp4,60,good,None
barbell biceps curl,barbell biceps curl_10.mp4,63,good,None
barbell biceps curl,barbell biceps curl_10.mp4,66,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_10.mp4,69,good,None
barbell biceps curl,barbell biceps curl_10.mp4,72,good,None
barbell biceps curl,barbell biceps curl_10.mp4,75,good,None
barbell biceps curl,barbell biceps curl_10.mp4,78,good,None
barbell biceps curl,barbell biceps curl_10.mp4,81,good,None
barbell biceps curl,barbell biceps curl_10.mp4,84,good,None
barbell biceps curl,barbell biceps curl_10.mp4,87,good,None
barbell biceps curl,barbell biceps curl_10.mp4,90,good,None
barbell biceps curl,barbell biceps curl_10.mp4,93,good,None
barbell biceps curl,barbell biceps curl_11.mp4,3,good,None
barbell biceps curl,barbell biceps curl_11.mp4,6,good,None
barbell biceps curl,barbell biceps curl_11.mp4,9,good,None
barbell biceps curl,barbell biceps curl_11.mp4,12,good,None
barbell biceps curl,barbell biceps curl_11.mp4,15,good,None
barbell biceps curl,barbell biceps curl_11.mp4,18,good,None
barbell biceps curl,barbell biceps curl_11.mp4,21,good,None
barbell biceps curl,barbell biceps curl_11.mp4,24,good,None
barbell biceps curl,barbell biceps curl_11.mp4,27,good,None
barbell biceps curl,barbell biceps curl_11.mp4,30,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_11.mp4,33,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_11.mp4,36,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,39,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,42,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,45,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,48,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,51,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,54,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,57,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,60,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_11.mp4,63,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_11.mp4,66,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_11.mp4,69,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_11.mp4,72,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_11.mp4,75,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_12.mp4,3,good,None
barbell biceps curl,barbell biceps curl_12.mp4,6,good,None
barbell biceps curl,barbell biceps curl_12.mp4,9,good,None
barbell biceps curl,barbell biceps curl_12.mp4,12,good,None
barbell biceps curl,barbell biceps curl_12.mp4,15,good,None
barbell biceps curl,barbell biceps curl_12.mp4,18,good,None
barbell biceps curl,barbell biceps curl_12.mp4,21,good,None
barbell biceps curl,barbell biceps curl_12.mp4,24,good,None
barbell biceps curl,barbell biceps curl_12.mp4,27,good,None
barbell biceps curl,barbell biceps curl_12.mp4,30,bad,[RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_12.mp4,33,bad,[RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_12.mp4,36,bad,[RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_12.mp4,39,bad,[RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_12.mp4,42,bad,[RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_12.mp4,45,bad,[RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_12.mp4,48,good,None
barbell biceps curl,barbell biceps curl_12.mp4,51,good,None
barbell biceps curl,barbell biceps curl_12.mp4,54,good,None
barbell biceps curl,barbell biceps curl_12.mp4,57,good,None
barbell biceps curl,barbell biceps curl_12.mp4,60,good,None
barbell biceps curl,barbell biceps curl_12.mp4,63,good,None
barbell biceps curl,barbell biceps curl_12.mp4,66,good,None
barbell biceps curl,barbell biceps curl_12.mp4,69,good,None
barbell biceps curl,barbell biceps curl_12.mp4,72,good,None
barbell biceps curl,barbell biceps curl_12.mp4,75,good,None
barbell biceps curl,barbell biceps curl_12.mp4,78,good,None
barbell biceps curl,barbell biceps curl_12.mp4,81,good,None
barbell biceps curl,barbell biceps curl_12.mp4,84,good,None
barbell biceps curl,barbell biceps curl_12.mp4,87,good,None
barbell biceps curl,barbell biceps curl_12.mp4,90,good,None
barbell biceps curl,barbell biceps curl_12.mp4,93,good,None
barbell biceps curl,barbell biceps curl_12.mp4,96,good,None
barbell biceps curl,barbell biceps curl_12.mp4,99,good,None
barbell biceps curl,barbell biceps curl_12.mp4,102,good,None
barbell biceps curl,barbell biceps curl_12.mp4,105,good,None
barbell biceps curl,barbell biceps curl_12.mp4,108,good,None
barbell biceps curl,barbell biceps curl_12.mp4,111,good,None
barbell biceps curl,barbell biceps curl_12.mp4,114,good,None
barbell biceps curl,barbell biceps curl_12.mp4,117,good,None
barbell biceps curl,barbell biceps curl_12.mp4,120,good,None
barbell biceps curl,barbell biceps curl_12.mp4,123,good,None
barbell biceps curl,barbell biceps curl_13.mp4,3,bad,[RIGHT] Elbows too straight.
barbell biceps curl,barbell biceps curl_13.mp4,6,good,None
barbell biceps curl,barbell biceps curl_13.mp4,9,good,None
barbell biceps curl,barbell biceps curl_13.mp4,12,good,None
barbell biceps curl,barbell biceps curl_13.mp4,15,good,None
barbell biceps curl,barbell biceps curl_13.mp4,18,good,None
barbell biceps curl,barbell biceps curl_13.mp4,21,good,None
barbell biceps curl,barbell biceps curl_13.mp4,24,good,None
barbell biceps curl,barbell biceps curl_13.mp4,27,good,None
barbell biceps curl,barbell biceps curl_13.mp4,30,good,None
barbell biceps curl,barbell biceps curl_13.mp4,33,good,None
barbell biceps curl,barbell biceps curl_13.mp4,36,good,None
barbell biceps curl,barbell biceps curl_13.mp4,39,good,None
barbell biceps curl,barbell biceps curl_13.mp4,42,good,None
barbell biceps curl,barbell biceps curl_13.mp4,45,good,None
barbell biceps curl,barbell biceps curl_13.mp4,48,good,None
barbell biceps curl,barbell biceps curl_13.mp4,51,good,None
barbell biceps curl,barbell biceps curl_13.mp4,54,good,None
barbell biceps curl,barbell biceps curl_13.mp4,57,good,None
barbell biceps curl,barbell biceps curl_13.mp4,60,good,None
barbell biceps curl,barbell biceps curl_13.mp4,63,good,None
barbell biceps curl,barbell biceps curl_13.mp4,66,good,None
barbell biceps curl,barbell biceps curl_13.mp4,69,good,None
barbell biceps curl,barbell biceps curl_13.mp4,72,good,None
barbell biceps curl,barbell biceps curl_13.mp4,75,good,None
barbell biceps curl,barbell biceps curl_13.mp4,78,good,None
barbell biceps curl,barbell biceps curl_13.mp4,81,good,None
barbell biceps curl,barbell biceps curl_13.mp4,84,good,None
barbell biceps curl,barbell biceps curl_13.mp4,87,good,None
barbell biceps curl,barbell biceps curl_13.mp4,90,good,None
barbell biceps curl,barbell biceps curl_13.mp4,93,good,None
barbell biceps curl,barbell biceps curl_13.mp4,96,good,None
barbell biceps curl,barbell biceps curl_13.mp4,99,good,None
barbell biceps curl,barbell biceps curl_13.mp4,102,good,None
barbell biceps curl,barbell biceps curl_13.mp4,105,good,None
barbell biceps curl,barbell biceps curl_13.mp4,108,good,None
barbell biceps curl,barbell biceps curl_13.mp4,111,good,None
barbell biceps curl,barbell biceps curl_13.mp4,114,good,None
barbell biceps curl,barbell biceps curl_13.mp4,117,bad,[RIGHT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_13.mp4,120,bad,[RIGHT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_14.mp4,3,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_14.mp4,6,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_14.mp4,9,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_14.mp4,12,good,None
barbell biceps curl,barbell biceps curl_14.mp4,15,good,None
barbell biceps curl,barbell biceps curl_14.mp4,18,good,None
barbell biceps curl,barbell biceps curl_14.mp4,21,good,None
barbell biceps curl,barbell biceps curl_14.mp4,24,good,None
barbell biceps curl,barbell biceps curl_14.mp4,27,good,None
barbell biceps curl,barbell biceps curl_14.mp4,30,good,None
barbell biceps curl,barbell biceps curl_14.mp4,33,good,None
barbell biceps curl,barbell biceps curl_14.mp4,36,good,None
barbell biceps curl,barbell biceps curl_14.mp4,39,good,None
barbell biceps curl,barbell biceps curl_14.mp4,42,good,None
barbell biceps curl,barbell biceps curl_14.mp4,45,good,None
barbell biceps curl,barbell biceps curl_14.mp4,48,good,None
barbell biceps curl,barbell biceps curl_14.mp4,51,good,None
barbell biceps curl,barbell biceps curl_14.mp4,54,good,None
barbell biceps curl,barbell biceps curl_14.mp4,57,good,None
barbell biceps curl,barbell biceps curl_14.mp4,60,good,None
barbell biceps curl,barbell biceps curl_14.mp4,63,good,None
barbell biceps curl,barbell biceps curl_14.mp4,66,good,None
barbell biceps curl,barbell biceps curl_14.mp4,69,good,None
barbell biceps curl,barbell biceps curl_15.mp4,3,good,None
barbell biceps curl,barbell biceps curl_15.mp4,6,good,None
barbell biceps curl,barbell biceps curl_15.mp4,9,good,None
barbell biceps curl,barbell biceps curl_15.mp4,12,good,None
barbell biceps curl,barbell biceps curl_15.mp4,15,good,None
barbell biceps curl,barbell biceps curl_15.mp4,18,good,None
barbell biceps curl,barbell biceps curl_15.mp4,21,good,None
barbell biceps curl,barbell biceps curl_15.mp4,24,good,None
barbell biceps curl,barbell biceps curl_15.mp4,27,good,None
barbell biceps curl,barbell biceps curl_15.mp4,30,good,None
barbell biceps curl,barbell biceps curl_15.mp4,33,good,None
barbell biceps curl,barbell biceps curl_15.mp4,36,good,None
barbell biceps curl,barbell biceps curl_15.mp4,39,good,None
barbell biceps curl,barbell biceps curl_15.mp4,42,good,None
barbell biceps curl,barbell biceps curl_15.mp4,45,good,None
barbell biceps curl,barbell biceps curl_15.mp4,48,good,None
barbell biceps curl,barbell biceps curl_15.mp4,51,good,None
barbell biceps curl,barbell biceps curl_15.mp4,54,good,None
barbell biceps curl,barbell biceps curl_15.mp4,57,good,None
barbell biceps curl,barbell biceps curl_15.mp4,60,good,None
barbell biceps curl,barbell biceps curl_15.mp4,63,good,None
barbell biceps curl,barbell biceps curl_16.mp4,3,good,None
barbell biceps curl,barbell biceps curl_16.mp4,6,good,None
barbell biceps curl,barbell biceps curl_16.mp4,9,good,None
barbell biceps curl,barbell biceps curl_16.mp4,12,good,None
barbell biceps curl,barbell biceps curl_16.mp4,15,good,None
barbell biceps curl,barbell biceps curl_16.mp4,18,good,None
barbell biceps curl,barbell biceps curl_16.mp4,21,good,None
barbell biceps curl,barbell biceps curl_16.mp4,24,good,None
barbell biceps curl,barbell biceps curl_16.mp4,27,good,None
barbell biceps curl,barbell biceps curl_16.mp4,30,good,None
barbell biceps curl,barbell biceps curl_16.mp4,33,good,None
barbell biceps curl,barbell biceps curl_16.mp4,36,good,None
barbell biceps curl,barbell biceps curl_16.mp4,39,good,None
barbell biceps curl,barbell biceps curl_16.mp4,42,good,None
barbell biceps curl,barbell biceps curl_16.mp4,45,good,None
barbell biceps curl,barbell biceps curl_16.mp4,48,good,None
barbell biceps curl,barbell biceps curl_16.mp4,51,good,None
barbell biceps curl,barbell biceps curl_16.mp4,54,good,None
barbell biceps curl,barbell biceps curl_16.mp4,57,good,None
barbell biceps curl,barbell biceps curl_16.mp4,60,good,None
barbell biceps curl,barbell biceps curl_16.mp4,63,good,None
barbell biceps curl,barbell biceps curl_17.mp4,3,good,None
barbell biceps curl,barbell biceps curl_17.mp4,6,good,None
barbell biceps curl,barbell biceps curl_17.mp4,9,good,None
barbell biceps curl,barbell biceps curl_17.mp4,12,good,None
barbell biceps curl,barbell biceps curl_17.mp4,15,good,None
barbell biceps curl,barbell biceps curl_17.mp4,18,good,None
barbell biceps curl,barbell biceps curl_17.mp4,21,good,None
barbell biceps curl,barbell biceps curl_17.mp4,24,good,None
barbell biceps curl,barbell biceps curl_17.mp4,27,good,None
barbell biceps curl,barbell biceps curl_17.mp4,30,good,None
barbell biceps curl,barbell biceps curl_17.mp4,33,good,None
barbell biceps curl,barbell biceps curl_17.mp4,36,good,None
barbell biceps curl,barbell biceps curl_17.mp4,39,good,None
barbell biceps curl,barbell biceps curl_17.mp4,42,good,None
barbell biceps curl,barbell biceps curl_17.mp4,45,good,None
barbell biceps curl,barbell biceps curl_17.mp4,48,good,None
barbell biceps curl,barbell biceps curl_17.mp4,51,good,None
barbell biceps curl,barbell biceps curl_17.mp4,54,good,None
barbell biceps curl,barbell biceps curl_17.mp4,57,good,None
barbell biceps curl,barbell biceps curl_17.mp4,60,good,None
barbell biceps curl,barbell biceps curl_18.mp4,3,good,None
barbell biceps curl,barbell biceps curl_18.mp4,6,good,None
barbell biceps curl,barbell biceps curl_18.mp4,9,good,None
barbell biceps curl,barbell biceps curl_18.mp4,12,good,None
barbell biceps curl,barbell biceps curl_18.mp4,15,good,None
barbell biceps curl,barbell biceps curl_18.mp4,18,good,None
barbell biceps curl,barbell biceps curl_18.mp4,21,good,None
barbell biceps curl,barbell biceps curl_18.mp4,24,good,None
barbell biceps curl,barbell biceps curl_18.mp4,27,good,None
barbell biceps curl,barbell biceps curl_18.mp4,30,good,None
barbell biceps curl,barbell biceps curl_18.mp4,33,good,None
barbell biceps curl,barbell biceps curl_18.mp4,36,good,None
barbell biceps curl,barbell biceps curl_18.mp4,39,good,None
barbell biceps curl,barbell biceps curl_18.mp4,42,good,None
barbell biceps curl,barbell biceps curl_18.mp4,45,good,None
barbell biceps curl,barbell biceps curl_18.mp4,48,good,None
barbell biceps curl,barbell biceps curl_18.mp4,51,good,None
barbell biceps curl,barbell biceps curl_18.mp4,54,good,None
barbell biceps curl,barbell biceps curl_18.mp4,57,good,None
barbell biceps curl,barbell biceps curl_18.mp4,60,good,None
barbell biceps curl,barbell biceps curl_18.mp4,63,good,None
barbell biceps curl,barbell biceps curl_18.mp4,66,good,None
barbell biceps curl,barbell biceps curl_19.mp4,3,good,None
barbell biceps curl,barbell biceps curl_19.mp4,6,good,None
barbell biceps curl,barbell biceps curl_19.mp4,9,good,None
barbell biceps curl,barbell biceps curl_19.mp4,12,good,None
barbell biceps curl,barbell biceps curl_19.mp4,15,good,None
barbell biceps curl,barbell biceps curl_19.mp4,18,good,None
barbell biceps curl,barbell biceps curl_19.mp4,21,good,None
barbell biceps curl,barbell biceps curl_19.mp4,24,good,None
barbell biceps curl,barbell biceps curl_19.mp4,27,good,None
barbell biceps curl,barbell biceps curl_19.mp4,30,good,None
barbell biceps curl,barbell biceps curl_19.mp4,33,good,None
barbell biceps curl,barbell biceps curl_19.mp4,36,good,None
barbell biceps curl,barbell biceps curl_19.mp4,39,good,None
barbell biceps curl,barbell biceps curl_19.mp4,42,good,None
barbell biceps curl,barbell biceps curl_19.mp4,45,good,None
barbell biceps curl,barbell biceps curl_19.mp4,48,good,None
barbell biceps curl,barbell biceps curl_19.mp4,51,good,None
barbell biceps curl,barbell biceps curl_19.mp4,54,good,None
barbell biceps curl,barbell biceps curl_19.mp4,57,good,None
barbell biceps curl,barbell biceps curl_19.mp4,60,good,None
barbell biceps curl,barbell biceps curl_2.mp4,3,good,None
barbell biceps curl,barbell biceps curl_2.mp4,6,good,None
barbell biceps curl,barbell biceps curl_2.mp4,9,good,None
barbell biceps curl,barbell biceps curl_2.mp4,12,good,None
barbell biceps curl,barbell biceps curl_2.mp4,15,good,None
barbell biceps curl,barbell biceps curl_2.mp4,18,good,None
barbell biceps curl,barbell biceps curl_2.mp4,21,good,None
barbell biceps curl,barbell biceps curl_2.mp4,24,good,None
barbell biceps curl,barbell biceps curl_2.mp4,27,good,None
barbell biceps curl,barbell biceps curl_2.mp4,30,good,None
barbell biceps curl,barbell biceps curl_2.mp4,33,good,None
barbell biceps curl,barbell biceps curl_2.mp4,36,good,None
barbell biceps curl,barbell biceps curl_2.mp4,39,good,None
barbell biceps curl,barbell biceps curl_2.mp4,42,good,None
barbell biceps curl,barbell biceps curl_2.mp4,45,good,None
barbell biceps curl,barbell biceps curl_2.mp4,48,good,None
barbell biceps curl,barbell biceps curl_2.mp4,51,good,None
barbell biceps curl,barbell biceps curl_2.mp4,54,good,None
barbell biceps curl,barbell biceps curl_2.mp4,57,good,None
barbell biceps curl,barbell biceps curl_2.mp4,60,good,None
barbell biceps curl,barbell biceps curl_2.mp4,63,good,None
barbell biceps curl,barbell biceps curl_2.mp4,66,good,None
barbell biceps curl,barbell biceps curl_2.mp4,69,good,None
barbell biceps curl,barbell biceps curl_2.mp4,72,good,None
barbell biceps curl,barbell biceps curl_2.mp4,75,good,None
barbell biceps curl,barbell biceps curl_20.mp4,3,good,None
barbell biceps curl,barbell biceps curl_20.mp4,6,good,None
barbell biceps curl,barbell biceps curl_20.mp4,9,good,None
barbell biceps curl,barbell biceps curl_20.mp4,12,good,None
barbell biceps curl,barbell biceps curl_20.mp4,15,good,None
barbell biceps curl,barbell biceps curl_20.mp4,18,good,None
barbell biceps curl,barbell biceps curl_20.mp4,21,good,None
barbell biceps curl,barbell biceps curl_20.mp4,24,good,None
barbell biceps curl,barbell biceps curl_20.mp4,27,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep wrists straight. Do not curl or extend them.
barbell biceps curl,barbell biceps curl_20.mp4,30,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep wrists straight. Do not curl or extend them.
barbell biceps curl,barbell biceps curl_20.mp4,33,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep wrists straight. Do not curl or extend them.
barbell biceps curl,barbell biceps curl_20.mp4,36,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep wrists straight. Do not curl or extend them. | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_20.mp4,39,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)! | [RIGHT] Elbows flaring out too much. | [LEFT] Keep wrists straight. Do not curl or extend them.
barbell biceps curl,barbell biceps curl_20.mp4,42,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)! | [RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_20.mp4,45,bad,[LEFT] Keep elbows pinned to your sides (Horizontal Drift)! | [LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)! | [RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_20.mp4,48,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_20.mp4,51,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_20.mp4,54,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep wrists straight. Do not curl or extend them. | [RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_21.mp4,3,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much. | [RIGHT] Keep wrists straight. Do not curl or extend them.
barbell biceps curl,barbell biceps curl_21.mp4,6,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_21.mp4,9,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much.
barbell biceps curl,barbell biceps curl_21.mp4,12,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching).
barbell biceps curl,barbell biceps curl_21.mp4,15,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much. | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_21.mp4,18,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much. | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_21.mp4,21,bad,[LEFT] Excessive torso lean (swinging or arching). | [RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much. | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_21.mp4,24,bad,[RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Elbows flaring out too much. | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_21.mp4,27,bad,[RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_21.mp4,30,bad,[RIGHT] Excessive torso lean (swinging or arching). | [RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
